question,answer_llm,answer_orig,document
"Does the certificate field get shared with anyone else, or is it only used on the certificate itself?",No. The certificate field is only used on your certificate and is not shared publicly or with third parties.,"No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
What name shows up on the public leaderboard if I set a different name for my certificate?,"The public leaderboard uses your separate display name, not the certificate name. If you set a different name for your certificate, that certificate name will only appear on the certificate. The leaderboard will show your nickname/display name instead, which is random by default unless you change it.","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Where do I change the leaderboard nickname and the certificate name in the course profile?,"In **Edit Course Profile**.

- **First field**: your **leaderboard nickname / display name**
- **Second field**: your **certificate name**

","No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Can I keep my real name off the leaderboard but still have it printed on the certificate?,Yes. You can use a separate display name for the leaderboard and put your real name only in the certificate field. The leaderboard name is public; the certificate name is printed only on your certificate.,"No. The certificate name only appears on your certificate — it isn't published online or shared with third parties. The public leaderboard uses your separate display name instead, which is a random nickname (like “Lucid Elbakyan”) and anonymous by default.

You can set both in “Edit Course Profile”: the first field is your public nickname for the leaderboard, and the second is the official name printed on your certificate. This lets you keep your real name off the public leaderboard while still having it on the certificate.",651ba06b34
Why don’t we use LangChain in this RAG course?,"We don’t use LangChain in the course because we want you to first build the core RAG pieces yourself: prompting, retrieval, indexing, and evaluation.

The idea is like learning HTML, CSS, and JavaScript before using React or Angular. Once you understand the basics, frameworks are much easier to use well.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
What is the reason for building the LLM app pieces ourselves instead of using a framework?,"Because the course wants you to learn the core LLM app pieces first — prompting, retrieval, indexing, and evaluation — before relying on a framework. It’s like learning HTML, CSS, and JavaScript before using React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
"Is LangChain covered in the course, or are we supposed to do everything from scratch?","LangChain is **not required** in this course. The course has you build the core RAG pieces yourself first: **prompting, retrieval, indexing, and evaluation**.

So yes, for the course you’re expected to do the core work from scratch before using frameworks like LangChain.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
"Why do we learn prompting, retrieval, indexing, and evaluation before any framework?","Because the course wants you to understand the core building blocks first, not just use a framework.

Prompting, retrieval, indexing, and evaluation are the pieces that frameworks like LangChain automate. Learning them first is like learning HTML, CSS, and JavaScript before React or Angular: you understand what the framework is doing and can use it better.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
What’s the point of not using LangChain first when it seems like it would make app building easier?,"The point is to learn the core building blocks first.

LangChain can make app building easier, but the course wants you to understand what it’s automating: prompting, retrieval, indexing, and evaluation. That way, when you do use a framework later, you’ll know how it works and when it’s helping vs. hiding problems.

A good analogy is learning HTML, CSS, and JavaScript before React or Angular.","LangChain is a framework for building LLM-powered apps. In this course, we first build the core pieces ourselves: prompting, retrieval, indexing, and evaluation.

Think of it like learning HTML, CSS, and JavaScript before using React or Angular. Frameworks are easier to use well once you understand what they automate.",b7cdde6b25
Why am I getting an OpenAI API error about insufficient credits when I run responses.create?,"You’re getting that error because your OpenAI API account has **insufficient credits / quota**. The course context says there is **no free usage of OpenAI’s API**, so `responses.create` will fail if your account doesn’t have billing enabled or enough funds.

To fix it:

1. **Add credits** to your OpenAI account (minimum about **$5**).
2. Make sure you’re using a **model available to your account** in `responses.create(...)`.
3. If needed, **create a new API key** after adding credits and update it locally.

If you’re seeing a `429` / `insufficient_quota` error, that is the same underlying billing/quota issue.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
"What does the OpenAI error ""Insufficient credits"" mean in responses.create?",It means your OpenAI account doesn’t have enough API credits/quota to complete the `responses.create` request. You’ll need to add billing/credits to your account and try again.,"You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Could this responses.create failure be caused by not having enough OpenAI credits?,"Yes — if you’re using the direct OpenAI API, a `responses.create` failure can be caused by insufficient credits/quota.

The context mentions OpenAI errors like:

- `OpenAI API Error: Insufficient credits`
- `RateLimitError: Error code: 429 ... insufficient_quota`

So if your OpenAI account doesn’t have enough credits, that could be the cause.

If you’re using OpenRouter instead, a `402` error may also happen, but that can be due to the model’s `max_output_tokens`/limits rather than OpenAI credits specifically.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
How do I fix the OpenAI API error that says I have insufficient credits?,"Add credits to your OpenAI account — there’s no free API usage. In the OpenAI billing settings, add at least $5 via pay-as-you-go, then rerun your code. You may also need to create a new API key after adding funds and update it locally. Also make sure you’re using a model available to your account in `responses.create(...)` (for example, one you have access to).","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Is an account credit issue the reason responses.create keeps failing in OpenAI?,"Yes — the context says an **insufficient credits / quota** issue can cause `responses.create` to keep failing in OpenAI.

It specifically mentions errors like:

- `OpenAI API Error: Insufficient credits`
- `RateLimitError ... insufficient_quota`

The suggested fix is to **add credits to your OpenAI account** and, if needed, **recreate your API key** and make sure you’re using a supported model.","You may receive the following error when running the OpenAI `responses.create` command due to insufficient credits in your OpenAI account:

```
OpenAI API Error: Insufficient credits
```",f5df151c59
Why am I getting a 429 RateLimitError from OpenAI even though my code looks fine?,"A 429 from OpenAI can mean two different things:

- **True rate limiting**: you’re sending too many requests too fast.
- **Insufficient quota / billing issue**: your account has no usable API credits.

In the context here, if the error says **`insufficient_quota`** or mentions **“You exceeded your current quota”**, then your code is probably fine — the problem is your **OpenAI API account billing/quota**, not your logic.

What to do:
1. Add credits / enable pay-as-you-go in your OpenAI account.
2. Make sure you’re using a model available to your account.
3. If needed, recreate your API key after enabling billing.

If you’re just hitting normal rate limits during the course, reduce API calls, use retries with backoff, lower concurrency, and cache results.

If the error is specifically `insufficient_quota`, it’s a billing issue, not a code issue.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
How do I fix the 'You exceeded your current quota' error when calling the OpenAI API?,"This error means your OpenAI API account has **insufficient quota/credits**, not just a temporary rate limit.

Fix it by:

1. **Add credits to your OpenAI account**  
   Go to: https://platform.openai.com/settings/organization/billing/overview  
   Add at least **$5** using pay-as-you-go billing.

2. **Use a model available to your account**  
   In `responses.create(model='gpt-4o', ...)`, make sure you choose a model you can actually access.

3. **Recreate your API key if needed**  
   After adding credits, you may need to generate a new API key and update it locally.

If you still see the error after that, double-check your billing and key setup.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
Do I need to add money to my OpenAI account to keep using the API?,"No, you don’t have to pay for OpenAI API to complete the course homework. You can use free or low-cost alternatives instead.

If you do want to use OpenAI and get an `insufficient_quota` / `429` error, then yes, you’d need to add credits to your account.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"What should I check if `responses.create(model='gpt-4o', ...)` fails with an insufficient_quota error?","Check your OpenAI account quota/credits and billing details.

If `responses.create(model='gpt-4o', ...)` returns an `insufficient_quota` error, the context says you should:

1. Add credits to your OpenAI account.
2. Make sure your API key is valid and, if needed, recreate it after adding credits.
3. Confirm that `gpt-4o` is one of the models available to your account.

So the main thing to check is whether your OpenAI account has sufficient quota/billing enabled.","```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
"After topping up my OpenAI billing, do I need to generate a new API key or can I keep using the old one?",You might need to recreate an API key after adding credits to your account and update it locally.,"```json
RateLimitError: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: [https://platform.openai.com/docs/guides/error-codes/api-errors.](https://platform.openai.com/docs/guides/error-codes/api-errors.)', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}
```

The above errors are related to your OpenAI API account’s quota. There is no free usage of OpenAI’s API, so you will need to add funds using a credit card (see pay-as-you-go in the OpenAI settings at [platform.openai.com](http://platform.openai.com)). Once added, re-run your Python command and you should receive a successful return code.

Steps to resolve:

1. Add credits to your account [here](https://platform.openai.com/settings/organization/billing/overview) (min $5).
2. In `responses.create(model='gpt-4o', …)` specify one of the models available to you:

   <{IMAGE:image_1}>

3. You might need to recreate an API key after adding credits to your account and update it locally.",152af39a53
How much money do I need to start using the OpenAI API for this course?,"You can start with as little as **$5** on the OpenAI API, and the course notes say the initial usage is usually **fractions of a cent**.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Will I end up spending a lot on OpenAI API calls in the RAG module?,"Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
What’s the minimum top-up amount to use the OpenAI API?,You can recharge starting from **$5**.,"Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Is OpenAI API usage in the course expensive or just a few cents?,"Using the OpenAI API for the course should cost very little — usually just fractions of a cent at the start. You can recharge starting from $5, but it’s generally not expensive for course usage.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Roughly how much should I expect to pay for OpenAI API usage in this course?,"It should cost very little. The course notes say you can start with a $5 recharge, and initial usage is usually just fractions of a cent.","Using the OpenAI API for the course should cost very little. You can recharge starting from $5, but initial usage is usually fractions of one cent.",554d0eb78b
Do I need a paid OpenAI API subscription to finish the course homework?,"No. You don’t need a paid OpenAI API subscription to finish the course homework. You can use free or low-cost alternatives instead, and the homework is designed so you don’t need to pay for OpenAI.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Can I complete the RAG assignments without paying for OpenAI API?,"Yes — you can complete the RAG assignments without paying for the OpenAI API.

The course says you do **not** have to subscribe to OpenAI to finish the homeworks. You can use:
- free or low-cost OpenAI alternatives,
- another LLM provider,
- or even a locally run model like Ollama or vLLM.

If you want, I can also point you to the kinds of alternatives mentioned in the course repo.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Are there any free or cheaper alternatives to OpenAI API for this course?,"Yes. You don’t have to pay for OpenAI API to complete the course.

You can use free or low-cost alternatives from the course repo, including OpenAI-compatible providers such as:

- Groq
- OpenRouter
- DeepSeek
- Gemini
- Z.ai
- Mistral

You can also use open models via Hugging Face, or run a model locally with:

- Ollama
- vLLM
- LM Studio

Anything with an OpenAI-compatible endpoint, or a locally served model, should work with only small code changes. For a curated list, see the course’s **Awesome LLMs** page in the GitHub repo.

","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Where can I find the list of OpenAI API alternatives for llm-zoomcamp?,"You can find it in the course GitHub repo here:

[OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives)","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Is it okay to use a low-cost LLM provider instead of OpenAI for the homework?,"Yes. You can use a free or low-cost LLM provider instead of OpenAI for the homework.

The course is not tied to OpenAI, and you do **not** need a paid OpenAI API subscription to complete the homeworks. You can use alternatives like Groq, OpenRouter, Gemini, Azure OpenAI, local models, or other OpenAI-compatible providers.

You may need to adjust the code a bit because different providers can have different response formats and token usage fields.","No, you don't have to pay for this service in order to complete the course homeworks. You can use free or low-cost alternatives listed in the course GitHub repo.

See the course list of [OpenAI API alternatives](https://github.com/DataTalksClub/llm-zoomcamp/blob/main/awesome-llms.md#openai-api-alternatives).",85384a18e5
Why does the course recommend using uv instead of pip and virtualenv for setup?,"The course recommends `uv` because it’s faster and more convenient. It’s an all-in-one tool that can replace `pip`, `virtualenv`, `pip-tools`, `pipx`, `poetry`, `pyenv`, and `twine`, so you can manage Python versions, virtual environments, and dependencies with one tool and reproducible lockfiles.

You don’t have to use it though — `pip` and `virtualenv` still work fine. `uv` is just simpler and faster, which is why the lessons use it.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
What makes uv better or easier than the usual Python tools for managing dependencies and environments?,"`uv` is better/easier because it’s an **all-in-one, fast tool**. It replaces several separate Python tools like:

- `pip`
- `virtualenv`
- `pip-tools`
- `pipx`
- `poetry`
- `pyenv`
- `twine`

So instead of juggling multiple commands and tools, you can manage:

- Python versions
- virtual environments
- dependencies
- reproducible lockfiles

with one fast command.

It’s **not required** though — `pip` and `virtualenv` still work fine. `uv` just makes setup **simpler and faster**, which is why the course uses it.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Do I have to use uv in the course, or can I still stick with pip and virtualenv?","No, you don’t have to use `uv`. You can still use `pip` and `virtualenv` — they work fine.

The course uses `uv` because it’s faster and makes setup simpler, but it’s not required.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"How does uv handle Python versions, virtual environments, and packages all in one place?","uv is an all-in-one tool that lets you manage Python versions, virtual environments, and dependencies/packages from one fast command, instead of using separate tools like `pip`, `virtualenv`, `pyenv`, and others.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Is uv just for speed, or does it also help with reproducible installs and lockfiles?","Yes. According to the course context, `uv` is not just about speed—it also supports **reproducible installs with lockfiles**.","The course uses uv because it's fast and convenient. It's an all-in-one tool that replaces pip, virtualenv, pip-tools, pipx, poetry, pyenv, and twine — instead of juggling several tools, you manage Python versions, virtual environments, and dependencies through one fast command with reproducible lockfiles.

You're not required to use it — pip and virtualenv still work fine — but uv makes the setup simpler and faster, which is why the lessons use it.

Official docs: https://docs.astral.sh/uv/",f81dea8f7e
"Why isn’t my OPENAI_API_KEY showing up in Jupyter, even though I put it in my .env file?","Make sure you installed and are using `python-dotenv`, then load the `.env` file in your notebook **before** creating the OpenAI client:

```bash
pip install python-dotenv
```

```python
from dotenv import load_dotenv
load_dotenv()
```

Also check that the variable name in your `.env` file is exactly `OPENAI_API_KEY`.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Do I need python-dotenv for the OpenAI key to work inside a notebook?,"Yes — in the notebook, you typically need `python-dotenv` if your OpenAI key is stored in a `.env` file.

Use it like this before creating the client:

```python
from dotenv import load_dotenv
load_dotenv()
```

Also make sure the variable name in `.env` is exactly:

```bash
OPENAI_API_KEY=your_key_here
```

If you’re not using a `.env` file and have set the environment variable another way, then `python-dotenv` may not be necessary.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
Where should I call load_dotenv() so the API key is available before creating the client?,"Call `load_dotenv()` **before** you create the client, ideally right after your imports at the top of the notebook:

```python
import os
from dotenv import load_dotenv
from openai import OpenAI

load_dotenv()

client = OpenAI(api_key=os.getenv(""OPENAI_API_KEY""))
```

This ensures `OPENAI_API_KEY` is loaded from your `.env` file before the client is initialized.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
My notebook can’t see OPENAI_API_KEY — could the variable name in .env be wrong?,"Yes — the `.env` variable name must be exactly `OPENAI_API_KEY`.

Also make sure you:

- installed `python-dotenv`
- loaded the file in your notebook before creating the client:

```python
from dotenv import load_dotenv
load_dotenv()
```

- and defined it in `.env` like this:

```bash
OPENAI_API_KEY=sk-...
```

If the name is different, the notebook won’t see it.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
What’s the easiest way to load environment variables in Jupyter so OpenAI auth works?,"The easiest way is to use `python-dotenv` and load your `.env` file at the top of the notebook:

```bash
pip install python-dotenv
```

```python
from dotenv import load_dotenv

load_dotenv()
```

Make sure your `.env` contains `OPENAI_API_KEY=...` exactly.","Make sure you installed and used `python-dotenv`.

```bash
pip install python-dotenv
```

Then load the `.env` file in the notebook before creating the OpenAI client:

```python
from dotenv import load_dotenv

load_dotenv()
```

Also check that the variable name in `.env` is exactly `OPENAI_API_KEY`.",86d99bbf21
"How do I keep my OpenAI, Groq, or Gemini keys in a .env file without pushing them to GitHub?","Store them in a `.env` file and make sure `.env` is ignored by Git:

```gitignore
.env
```

Example `.env`:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Then load them in Python with `python-dotenv`:

```bash
pip install python-dotenv
```

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
gemini_api_key = os.getenv(""GEMINI_API_KEY"")
```

For sharing a project, include a `.env.example` with only the variable names, not the values, and keep the real `.env` out of GitHub.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
What's the easiest way to read API keys from a .env file in Python for this RAG module?,"The easiest way is to use `python-dotenv`:

```bash
pip install python-dotenv
```

Then in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()  # loads .env from the project root

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```

Make sure your `.env` file contains the keys, like:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
```

And keep `.env` in `.gitignore`.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
Do I need to install anything special to use environment variables from a .env file in the course project?,"Yes — install `python-dotenv` and load the `.env` file in your Python code.

```bash
pip install python-dotenv
```

Then:

```python
from dotenv import load_dotenv
load_dotenv()
```

After that, you can read the variables with `os.getenv(...)`.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
How should I set up .gitignore so my API keys stay private when working on the RAG assignment?,"Add `.env` to your `.gitignore` so your API keys never get committed:

```gitignore
.env
```

If you also use `.envrc`, add that too:

```gitignore
.env
.envrc
```

Then keep your keys in a local `.env` file and load them in Python with `python-dotenv`.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
Can someone show me a simple example of loading OPENAI_API_KEY and GROQ_API_KEY from .env?,"Sure — here’s a simple Python example using `python-dotenv`:

**1) Create a `.env` file**
```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
```

**2) Install `python-dotenv`**
```bash
pip install python-dotenv
```

**3) Load the variables in Python**
```python
import os
from dotenv import load_dotenv

load_dotenv()  # loads .env from the current project directory

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")

print(openai_api_key)
print(groq_api_key)
```

**4) Add `.env` to `.gitignore`**
```gitignore
.env
```

If you want, I can also show the same example for a Jupyter notebook.","Store API keys in a `.env` file and load them with `python-dotenv`, as recommended in the course.

Add `.env` to `.gitignore` so keys are never committed:

```gitignore
.env
```

Create a `.env` file:

```bash
OPENAI_API_KEY=sk-...
GROQ_API_KEY=gsk_...
GEMINI_API_KEY=...
```

Install `python-dotenv` if needed:

```bash
pip install python-dotenv
```

Load the keys in Python:

```python
import os
from dotenv import load_dotenv

load_dotenv()

openai_api_key = os.getenv(""OPENAI_API_KEY"")
groq_api_key = os.getenv(""GROQ_API_KEY"")
```",233dabe430
